id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
data_president_small\1_LJM\google_0001,0.6223388,0.48485354,-0.25992328,-0.4597405,2.0244038,-0.599357,-1.2091857,-0.34047928,-0.7047247,-2.3067822,-1.0974627,1.2485791,-0.3765574,-0.39718795,0.756878,0.108704045,0.09286478,-0.016727958,-0.020942949,-1.5942538,-1.5757484,1.6301638,0.5783728,1.0408189,-0.23287433,1.176651,-2.3732872,1.6934756,2.558544,-0.7145303,0.73143244,-0.68440443,-1.2815319,0.105584316,-0.06545627,0.8443818,-0.8957715,1.4392602,-0.31299686,-0.34927285,0.21181583,0.49542195,1.1253428,0.07038355,-0.43551177,0.4759781,0.47942945,-1.2194614,-1.197222,1.7367048,0.42870754,0.7424858,0.9933531,-0.3410381,0.36002558,1.6781569,-0.928619,-1.0841691,-0.19928062,0.74563444,-0.88589436,-1.5565908,-0.080688745,0.29673347,-1.767948,0.9746041,-0.036402546,-0.2988428,-0.13630763,0.1940774,0.7626357,-0.022515252,-0.26730758,-0.6849135,0.6899032,0.88407886,-1.8095376,0.8158596,-0.9183632,-1.0928168,0.22162262,1.1936352,-0.14042768,0.33432275,-0.3513706,-0.05473652,0.8277901,0.4993171,1.1923702,-0.52809286,1.0275509,-0.7294988,-0.12331703,-1.8707124,1.4205523,0.061154153,-0.9670633,-1.5391618,0.6923202,-0.781834,-0.44785768,0.28002313,-0.14693275,-0.23075472,0.78523415,-0.8144771,1.049034,0.2670449,0.5716808,-0.85127705,-0.5411896,1.8430855,0.15319213,0.91696686,1.1808667,-0.967193,0.10429047,0.77413315,-0.058688797,-1.8426546,0.45893306,-0.40331116,2.4764748,-0.38676307,0.7486824,-1.2136785,0.020594643,-0.4492819
data_president_small\1_LJM\google_0003,0.19779381,-0.8936304,-0.039271235,-0.4194852,0.4685121,-0.26570144,0.3342733,-0.44468814,0.36902344,-0.5407716,0.12162054,-0.17314504,-0.6347264,-0.9119046,0.6501763,0.43615907,-0.56680787,-0.5512305,0.19961905,-1.1476122,-0.61434495,0.33034012,0.26155752,0.8281819,0.47216186,0.5620959,0.7003932,0.8038375,0.8275763,0.23740424,-0.20325214,0.40055573,-0.44830915,-0.3133151,-0.7424178,1.0108534,-1.1778537,1.5892928,0.5715569,-0.39987418,0.58556664,0.1533463,0.47525704,-0.75783443,-0.066930786,0.7772173,0.2634307,-1.475143,-1.08071,1.271478,-0.6156625,0.8670642,1.4585737,-0.5263136,-0.29999518,1.1214151,-0.7357943,0.30772793,0.40044174,-0.1805481,-0.72690463,-0.4406106,-0.9227129,0.06300218,0.2532142,0.58312345,0.73324543,-0.039146766,-0.76118445,0.33779368,0.18668671,-0.7209617,0.6751705,-1.681275,-0.28840238,0.33052784,-1.5104514,0.34489802,-1.592325,-0.13872494,0.09432741,0.2459657,0.6022734,0.17946225,0.054422267,0.035411216,0.9044551,1.1768869,0.42069307,-0.27052203,1.3961918,-0.4997438,0.10655302,-0.44460902,0.7159226,0.12096854,-1.3684754,-1.078361,-0.49912328,0.3069488,-0.3899696,-0.026095752,0.8691764,-1.0245019,0.12759143,-0.25295004,0.81465966,1.0524709,0.95727944,0.17266543,0.15439676,0.464405,0.062144473,1.0141822,0.6778393,-0.5926304,-0.31657493,1.103188,0.41293427,-0.87848425,0.8681552,-0.016895093,1.2623622,0.16472673,1.0405508,-1.3449847,0.8503449,0.29694328
data_president_small\1_LJM\google_0004,0.25680834,-0.63563406,-1.4998498,-0.5041527,1.597051,-1.0081311,-0.07381172,-0.061495382,-0.6841726,-0.12312907,0.27420568,0.49461037,-0.881004,-1.083517,0.09928265,0.16692935,-1.2275698,-0.5393539,-0.43385345,-1.8456469,-0.5514902,0.39986536,0.14042765,1.265514,0.0572584,0.9895604,-0.18825111,0.5767259,1.6347656,-0.5894443,-0.09118214,0.45702633,-0.7674597,-0.260745,-0.4579281,1.253344,-1.8327727,1.005087,-0.33288807,-1.4369996,0.75564796,0.82091314,0.79195666,-0.22147536,-0.7219521,-0.28476092,-0.08532246,-0.54622126,-1.1244826,0.6227001,-0.16885647,1.4234426,1.4693241,-0.24380419,-0.15869863,1.8574369,-1.185931,-0.30199474,0.4544586,-1.2699866,-1.7722132,-1.1072094,-0.24783984,0.93276644,-0.035489693,1.3548014,0.2375766,-0.11554051,-0.3761586,0.8374729,0.81140465,-0.39511558,-0.1801641,-1.0029398,-0.10729723,-0.7566096,-1.3363675,1.5708152,-2.101023,-0.9931401,-0.028544787,0.08773329,-0.6683707,0.34732354,-0.06966696,0.034409992,-0.4610708,0.1465065,0.74154127,-0.57932866,1.9398754,-1.051673,0.11608888,0.06023291,1.0766788,0.2129193,-0.076461196,-2.0930915,0.14965205,-0.2069525,-1.8776441,-0.029999014,1.3877568,-0.11220157,0.21068385,0.07372019,1.5501447,0.4996584,0.3209747,1.007462,0.40917808,1.8531878,0.3699512,2.0184224,1.3942739,0.025441542,-0.282717,0.3250447,-0.41120568,-1.4496704,0.30655417,-0.2283884,2.0167668,-0.057012223,0.42167765,-1.4866564,1.0463731,-0.3279673
data_president_small\1_LJM\google_0005,-0.103792205,-1.2663211,-1.9309893,-0.8377905,2.1609907,-2.434405,-0.60585093,-0.82492036,-0.6838181,-1.7667233,-0.90552366,0.32314345,-0.26026464,-0.74930596,1.3477706,1.181752,-0.8148453,-0.5038492,-0.31881064,-2.6098628,-0.9465742,0.36077273,0.643161,0.5732626,0.41339174,0.7204137,-0.17401628,1.6616782,1.779753,0.5949815,-0.7238606,0.74324197,-1.1713506,0.9197172,-0.5062576,0.77273303,-1.4297973,0.84457463,-0.37948388,-1.5025362,0.7426443,1.4504986,0.6906792,0.007931508,-0.86995167,-1.1495887,0.67565674,-1.9109675,-1.6612078,2.302291,-0.7183137,0.5474056,0.35606912,0.2871293,0.0047210995,0.62663484,-0.9528529,-0.30290553,-0.6250805,0.24458915,-1.0539073,-2.200073,0.24213837,0.31008083,-1.6863983,1.3049906,-0.50784534,0.017399319,-0.15169594,0.02989924,0.7563988,-0.15656443,-0.27615246,-1.3764349,0.7794382,0.4092982,-1.1390305,0.9939261,-0.9182907,-2.0669389,-0.9494446,1.8231126,-0.2724229,0.8931628,-0.3108976,0.1726022,1.0196738,-0.2531792,0.8171681,0.12790917,1.8138137,-1.3294779,-0.00083871186,-0.8998811,0.6942371,0.7204213,-1.9877237,-1.7558509,-0.8048325,-0.35227758,-0.7415591,0.55918425,1.165703,-1.0591729,1.9600358,-1.1444906,0.20112985,0.7052033,-0.44720832,0.5294603,0.6203514,1.2118386,0.30449292,1.6286465,1.3133397,-1.1277604,-0.18342702,0.22247973,-1.0461137,-1.5223453,1.0738373,0.3453516,2.3399332,-0.07141663,0.31425422,-1.7389282,-0.21930052,-0.6132916
data_president_small\1_LJM\google_0006,1.1891013,-0.4764766,-0.8504565,-0.84333426,1.6923532,-1.0749614,0.4192374,0.27671608,-0.22093281,-1.07544,-1.8489038,0.22482899,0.07637514,-0.7746053,1.2957096,0.5311021,-0.9353882,-0.7332182,0.8333068,-1.4414945,-0.9918575,1.4588215,0.0055595934,1.7589685,0.22140782,0.69830555,0.35594425,1.3145275,1.7729993,0.17742692,-0.93115795,0.5257457,-1.5273386,0.19552237,-1.7397604,0.54938406,-0.95910263,0.7359468,-0.38086045,-1.4324799,0.27672803,0.76093996,0.75718355,-0.92652065,-0.28012863,1.0132314,0.6168341,-2.1102517,-1.7872454,1.7021708,-1.0286129,1.3677512,0.65446246,0.13212505,-0.799385,0.53772986,-1.6612028,0.034331817,-0.18864256,0.80240977,-1.2646757,-0.840776,0.17995703,0.78777796,-0.8073915,0.8915952,0.7378787,-0.8600848,-0.03249443,-0.24866915,1.3916929,-0.49781784,0.8584585,-0.7332753,0.48214725,0.20351462,-2.19768,0.8966383,-0.32990104,-0.7037856,-0.26201835,1.6755631,0.22816555,-0.23120591,-0.68779206,0.38273516,1.3038793,0.12687194,1.419906,-0.13074435,1.6280135,-0.088626176,-0.30940107,-0.76417387,1.1857588,0.48450834,-1.9269626,-2.0268621,0.1965265,0.7333207,-0.6728159,0.8437026,1.2384207,-0.95311886,0.42601776,-1.1929557,0.161382,1.0166488,0.2702562,-0.07638982,-0.3221388,0.23216039,0.11136198,1.4791162,1.1434187,-0.7466711,-0.68216133,1.5840117,-0.41930166,-1.1608143,0.45583016,0.6747221,1.2036686,0.07519021,-0.15544817,-0.3345742,0.82547754,-1.3301644
data_president_small\1_LJM\google_0008,-0.13827683,0.14142351,-2.471495,-0.4105898,1.1394545,-1.4159997,-0.7189713,0.08921705,-0.21303806,-1.7243968,-0.17402896,0.72866803,-0.87717426,-0.8414824,1.430121,1.31842,-1.3315507,-0.51008236,0.22386904,-0.95222205,-1.486522,1.1831748,-0.58898455,1.3390474,1.0252857,1.483346,0.0665049,1.5127275,1.5538845,-0.016193483,-0.56216335,0.9155797,-1.16425,-0.0037886575,-1.3816738,0.5667318,-0.5480424,0.49067488,0.77804065,-1.0817122,0.21876132,1.3539473,-0.69119275,-0.7366437,0.07364979,-0.25414428,0.14990218,-1.613766,-0.31301394,2.3511949,0.04832855,1.0301011,1.0796044,-0.056434385,-0.07927455,0.64294,0.22623649,-0.4900689,-0.03804352,1.0230777,-0.52301365,-1.209435,0.5118599,-0.26858723,-0.065547556,0.8485484,0.71420366,-0.29301268,-0.68790275,-0.6738242,0.29556438,-0.3169015,-0.62504625,-0.708375,0.6739634,-0.37513563,-1.848338,1.6856163,-0.7401591,-0.3948524,-1.1550922,1.1348406,0.08140488,0.31577435,-0.7682062,1.3917353,-0.047080897,1.6554588,0.692443,-0.33886263,2.7344837,-0.98633385,0.20350325,-0.9748091,0.7489384,0.36541104,-1.2000979,-1.9001526,-0.4675246,0.07993481,-1.1035391,0.035704993,1.1593735,-1.2047471,1.0176016,-1.850574,-0.007745767,1.7064652,0.30716395,1.0778869,-0.23583847,-0.12666328,0.70932186,0.877381,1.4849547,-1.0083019,-0.23627172,1.2694108,0.57438016,-0.6639475,0.3171674,0.24132226,1.8118535,-0.41787535,0.7543652,-1.7078564,-0.31316185,-0.9840907
data_president_small\1_LJM\google_0009,0.6890868,-0.45796674,-1.4174039,-1.243019,2.1536424,-1.0923862,0.012518365,0.3878501,-0.9380307,-2.2921896,-0.744549,0.7947015,0.3430962,-1.0803167,1.8528656,-0.018480448,-0.8475276,-0.5817946,0.86879176,-1.3176761,-1.0097144,1.4206115,0.017087571,0.8497947,-1.0190626,0.61483264,-1.153417,1.5119699,2.1495364,0.1651499,-0.54605997,0.64498824,-1.8226388,0.49744081,-0.8958668,-0.59133327,-0.9099052,0.6056953,-0.544937,-1.7080463,0.17991585,1.0230263,0.87385595,-1.2894541,-0.46246216,-0.6255553,1.1889539,-1.9452748,-0.17503975,2.5177724,-0.5899648,0.81837237,0.933828,-0.43657976,-1.3057579,0.47481343,-0.5999447,-0.3160147,-0.8834116,0.9296735,-1.726368,-1.1828034,0.70093954,0.99029666,-1.83068,0.988348,1.4956194,-1.0831047,0.33821014,0.19588095,1.3971866,-0.7847471,0.09446907,-0.5016441,0.53454095,0.08286425,-1.708849,0.45400512,-1.3876029,-1.1445479,-0.6503834,1.8556991,-0.22275952,-0.6633172,-0.3544414,0.5961505,1.071618,0.57535315,1.4561155,0.31940913,1.3490353,-0.5923432,-0.71693784,-0.73229444,1.4336079,0.35318103,-1.7384303,-1.773395,0.3077394,-0.04919482,-0.20140629,-0.60944074,1.8797325,0.025404984,1.7830839,-0.35819107,1.1777436,0.8949288,0.49019516,0.19971228,0.018992307,0.54756594,-0.84317803,2.244984,1.4469649,-2.0906506,-0.31973335,0.6710662,-0.48675153,-1.5946319,0.16384974,0.7777637,1.164151,0.4882256,-0.24578165,-0.76634896,-0.7903274,-1.3291898
data_president_small\1_LJM\google_0010,0.07139042,-0.78293,-0.7575787,-0.6163904,2.2152562,-1.1681335,-0.009296685,-0.7694422,0.07036265,-0.44772655,0.27429146,-0.013155982,-1.1828502,-1.490185,0.052413363,0.21898015,-0.35197043,-0.13972935,-0.38848224,-2.1705787,-0.22417998,-0.4573136,1.0809795,1.1873516,-0.35928917,0.73605335,0.3345988,0.46720052,1.1003087,0.15180415,-0.1968782,-0.11166644,-1.4954803,-0.2854957,-0.05195733,1.3539302,-0.9210909,1.9162188,0.0037035942,-0.28676632,0.74203074,-0.3106505,0.8599924,-0.027656414,-0.73296535,-0.2275199,1.3601763,-1.7867272,-1.3652896,0.12579407,-1.341062,0.7304233,0.7739134,-0.009248763,-0.10918595,1.1270653,-0.67665404,0.57940894,0.7126225,-0.9370433,-1.3323877,-1.469414,-0.3782008,-0.30961248,-0.76169,2.242895,0.22239098,1.3871884,-0.48088488,1.1109288,0.3093501,-0.20795235,-0.053521786,-0.9718307,-0.20819235,1.0011069,-1.2632594,1.248758,-2.4163125,-1.5662168,-0.7243073,0.29799125,0.06714806,0.28215533,-0.5486306,1.0131394,0.2880674,0.14820012,0.39305067,0.08236249,2.1515996,-1.8416636,0.46707407,-1.2721785,0.20772143,0.3922482,-1.2451893,-1.6982449,0.4666155,0.2575199,-2.1993241,0.7727439,1.2942746,-1.2277762,0.7517714,-0.21924129,0.88716096,1.3490486,0.86662066,0.76550907,0.14422077,1.3699124,0.42414114,0.8872957,0.5215054,0.13093494,-0.8726449,0.27074456,-0.30026534,-1.4532329,0.3576256,0.3448994,1.679379,-0.89277464,0.70593387,-1.6408203,0.98199993,-0.7702706
data_president_small\1_LJM\google_0011,1.4040803,-0.6768061,-0.5806914,-1.096199,1.6674203,-1.0489329,0.7121649,0.12672658,-0.15268698,-0.6990029,-0.8825178,0.3300605,0.35608995,-0.13272229,1.2170748,0.09579407,-0.6716908,-1.0085933,-0.2942846,-1.544767,-0.37982434,0.23724993,0.3874057,0.85854816,-0.6908669,0.36439505,0.45612285,1.010426,0.8927668,-0.20893596,-0.51470363,1.0245638,-1.4604247,0.16674313,-1.2450892,0.5908251,-2.218091,0.17083097,-0.07941222,-0.89909947,0.42517298,-0.009232236,1.4271119,-1.7173333,-0.1952073,-0.055006556,0.67063046,-1.5496811,-1.4776815,1.2300667,-1.3942935,1.2446119,0.1830016,-0.18813425,-0.39272428,0.41541404,-1.2823672,0.5446818,0.56672686,-0.5169757,-2.0380068,-1.3048047,0.6703876,1.2880045,-0.31280196,0.14405158,0.48822147,-0.46723342,-0.6069032,0.6341318,0.5727804,-0.21469197,1.3024292,-0.7178297,-0.05180115,-0.4630669,-1.5074601,-0.107564226,-1.5739726,-1.6484596,0.068155766,1.1085377,0.06050626,-0.5444187,-0.2377038,-0.3337959,0.26569203,-0.71537566,0.8598571,-0.27935144,1.3208473,-0.624106,-0.22635321,-1.0561568,1.065086,0.3730054,-1.7276299,-0.8844657,0.0774862,0.22724424,-1.1529797,0.3617558,1.1836325,-0.40195632,0.4337178,-0.025009912,0.9498273,1.1175555,0.16936347,0.4286858,0.39337164,1.6091055,0.08339359,1.654191,1.6631078,-0.55659264,0.046387352,0.7818537,-0.4535738,-1.479595,0.52491164,0.6985431,1.8568466,-0.1092297,-0.33318383,-0.90563536,0.47557825,-0.6401935
data_president_small\1_LJM\google_0012,0.9171603,-0.8002769,-1.5614988,-0.15092883,1.1012853,-1.8788466,-0.4056543,-1.0343574,-0.6471011,-1.0754398,-0.65380853,0.45395583,-0.730226,-0.50561064,0.57538074,0.4548331,-0.666752,-0.48440725,0.06765688,-1.7595837,-1.5103084,1.1723781,0.91850525,0.80078566,0.82414603,1.4962753,0.66461277,0.5747481,2.0731885,0.16261457,-0.0957375,0.75996053,-1.0760874,0.28256696,0.16245694,1.5010165,-0.3323412,1.6168528,0.65216833,-0.085225716,0.17582224,1.8609474,0.749118,-0.99849176,0.07144538,0.37598097,-0.60506004,-1.4681523,-0.67758447,1.2805685,-0.15058799,0.30250847,0.95049393,0.35872656,0.017952692,1.0535914,-1.0388252,0.44949436,-0.1587614,-0.9739042,-0.68047094,-1.16085,-0.5930825,-0.25009072,-1.2651706,2.3656507,0.43682745,0.68883663,-0.57206887,0.6516124,1.0360222,0.39827976,0.2678216,-1.023388,0.24236992,-0.26435694,-1.4441886,1.3259075,-1.2372478,-1.4846376,-0.583427,1.4892576,0.01930384,1.0337615,-1.1342379,0.3288344,0.6136082,0.19871973,0.35982665,-0.5566211,1.8715856,-0.33323708,0.0700849,-0.8629853,0.49854684,0.69703364,-0.6463057,-1.1753259,0.23395017,-0.09582255,-1.6134149,0.2698656,0.8606313,-1.1569548,1.3399365,-0.5210443,0.9040655,1.2184864,-0.054952808,-0.114767775,0.6866528,0.5155132,0.8174577,0.6723505,1.5238571,0.73279893,-0.81306326,1.0506794,0.24233219,-1.356446,0.30091417,-0.4480097,2.214333,-0.81731325,1.038439,-1.3310238,0.07861507,-0.9375621
